post_id,comment_id,comment_text,pos,neg,neu,compound,polarity
A2,13650,the facecard damnnnn,0.0,0.0,1.0,0.0,neutral
C1,37048,"yet, she does a lot of things!  I bet you donâ€™t hold a candle to how hard she works.  this whole â€œrichâ€ people commentary on here is just a cop out for the jealous individuals!  find something else to say and generate originality.  you canâ€™t imagine the difficulties they deal with even having money, that they worked super hard for!",0.058,0.131,0.811,-0.4545,negative
C3A,41536,absolutely ate ğŸ™Œ,0.0,0.0,1.0,0.0,neutral
A5,17544,"I still love them, but itâ€™s crazy how much weight theyâ€™ve lost and how much their appearance and personalities have changed. I just hope theyâ€™re OK.",0.187,0.175,0.638,0.1027,positive
E2,66124,just bought me the debloat canâ€™t wait to try it  ğŸ’œ,0.276,0.0,0.724,0.6369,strongly positive
D5,61320,gorgeous â¤ ğŸ™Œ ğŸ”¥ ğŸ˜,0.7,0.0,0.3,0.9325,strongly positive
E2,65649,she goes to target just like us!,0.318,0.0,0.682,0.4199,positive
A4,16652,oh itâ€™s not? crazy,0.404,0.0,0.596,0.2584,positive
E3,68392,that bounce back already  ğŸ”¥,0.412,0.0,0.588,0.4215,positive
C2,39018,ğŸ ğŸ ğŸ ğŸ ğŸ ğŸ ğŸ ğŸ ğŸ,0.0,0.0,1.0,0.0,neutral
A7,21841,horraaay another line of basic sweatsuits that are over priced. I can get this from walmart,0.0,0.0,1.0,0.0,neutral
B1,23501,ğŸ¥µ,0.688,0.0,0.312,0.296,positive
B1,25931,holy wow  ğŸ˜®,0.432,0.0,0.568,0.5859,strongly positive
C1,36505,ğŸ¯ ğŸ¯ ğŸ¯ ğŸ˜š ğŸ˜š ğŸ˜š ğŸ†,0.369,0.0,0.631,0.9022,strongly positive
A2,12149,câ€™Ã©tait juste une perruque  ğŸ¤£,0.286,0.0,0.714,0.4939,positive
C3B,42418,khloe you playing. call me.,0.31,0.0,0.69,0.2023,positive
B3,30307,the coat looks like a bathrobe,0.333,0.0,0.667,0.3612,positive
E3,67520,I'm going to clone you some how â¤.,0.344,0.0,0.656,0.6369,strongly positive
D3,51268,of course aspen,0.0,0.0,1.0,0.0,neutral
B2,26143,kris looks like james charles,0.385,0.0,0.615,0.3612,positive
C3B,42335,fit the wall  ğŸ,0.643,0.0,0.357,0.6597,strongly positive
A4,16055,ğŸ’“ ğŸ’“,0.583,0.417,0.0,0.5267,strongly positive
E3,71058,I just wanna know how yalls hair is shiney. what products?,0.0,0.0,1.0,0.0,neutral
B5,33216,wait and   ğŸ˜¢,0.0,0.508,0.492,-0.4767,negative
E2,64843,"very cringe, selling a product you would not eat yourself. I know y'all seen that episode where she spit it out  ğŸ˜‚ DON'T BUY IT!",0.124,0.058,0.818,0.4926,positive
D4,54443,hi â¤ â¤ â¤,0.759,0.0,0.241,0.9274,strongly positive
B2,26929,ğŸ”¥ ğŸ”¥ ğŸ”¥ ğŸ”¥ â¤,0.939,0.0,0.061,0.9371,strongly positive
A1,11467,love you  ğŸ˜ ğŸ˜ ğŸ˜   â¤ â¤ â¤,0.665,0.0,0.335,0.9794,strongly positive
A4,17078,so excited!!!! now i can do full face of kylie cosmetics  ğŸ¤,0.423,0.0,0.577,0.8427,strongly positive
A1,10301,first â¤,0.677,0.0,0.323,0.6369,strongly positive
A7,21849,I can literally get this at the thrift store  ğŸ¤”,0.0,0.0,1.0,0.0,neutral
C2,38381,foot  ğŸ¦¶ ğŸ¼ on NECK  â¤â€ ğŸ”¥,0.237,0.0,0.763,0.4215,positive
C3A,41559,you look gorgeous   ğŸ”¥ ğŸ”¥,0.828,0.0,0.172,0.8625,strongly positive
B1,25570,I guess I know what my man getting for V-day,0.0,0.0,1.0,0.0,neutral
D5,57077,you are not single don't even be spreading that type of assumption because then ..... well ya know......,0.11,0.0,0.89,0.2732,positive
A1,11048,so so pretty  â¤,0.733,0.0,0.267,0.8495,strongly positive
E2,65949,ğŸ‘ ğŸ‘ ğŸ‘ love my lemme purr!,0.818,0.0,0.182,0.9259,strongly positive
A4,17035,thanks for having me ğŸ’‹ ğŸ¤,0.664,0.0,0.336,0.872,strongly positive
B5,34763,probably not the pose Iâ€™d recommend  ğŸ’©,0.225,0.324,0.45,-0.2732,negative
D5,60962,â™¥ â™¥ â™¥ â™¥,0.808,0.0,0.192,0.9571,strongly positive
C1,36872,ate and left no crumbs,0.0,0.355,0.645,-0.296,negative
C2,39906,thought you were the next bachelorette at first glance but realized it was an apple not a rose ğŸ˜‚ darn!,0.184,0.079,0.737,0.63,strongly positive
D5,62444,like wow  ğŸ˜² you look amazing,0.809,0.0,0.191,0.9136,strongly positive
B2,28095,"when you want to come to michigan and hang with the low key man, call me  ğŸ”¥ â¤",0.327,0.083,0.591,0.7351,strongly positive
B2,26416,the necklace is too much.,0.0,0.0,1.0,0.0,neutral
A5,18675,she borrowed her brotherâ€™s in law one ğŸ˜‚,0.242,0.121,0.637,0.4404,positive
C2,39571,khloe you look absolutely beautiful  ğŸ˜,0.516,0.0,0.484,0.8162,strongly positive
D5,57510,ğŸ”¥ ğŸ”¥ ğŸ™Œ ğŸ™Œ â¤ â¤ â¤,0.722,0.0,0.278,0.9595,strongly positive
E3,70885,the hair be soooooooo shiny  ğŸ¤©,0.0,0.0,1.0,0.0,neutral
E2,65374,ohh sexy  ğŸ”¥,0.861,0.0,0.139,0.7351,strongly positive
E3,70485,you look fabulous kourtney no matter what you wear it is uncomfortable with sore boobs and congratulations to the birth of your son,0.232,0.196,0.572,0.4812,positive
C3B,42369,ğŸ”¥ ğŸ”¥ ğŸ”¥ ğŸ”¥all the fucking way â¤,0.72,0.0,0.28,0.9163,strongly positive
D5,58230,prettiest of them all  ğŸ˜,0.528,0.0,0.472,0.7717,strongly positive
C1,36281,stop using FUR !! thatâ€™s not fashion its murder  ğŸ¤®,0.207,0.349,0.444,-0.3707,negative
E3,69400,sexy mama  ğŸ”¥ ğŸ’—,0.924,0.0,0.076,0.9022,strongly positive
D5,60692,I like your styles,0.455,0.0,0.545,0.3612,positive
D4,52730,ğŸ‘ ğŸ» nice,0.359,0.0,0.641,0.4215,positive
D3,49717,ğŸ˜ ğŸ‘ ğŸ‘ ğŸ”¥ â¤ love  ğŸ˜ kendall,0.744,0.0,0.256,0.9726,strongly positive
D2,47710,kendall is the bezt flirt with kendall shes top notch like that shes living good she deserves all your love,0.416,0.0,0.584,0.886,strongly positive
B3,29741,kim looks 20 again here ğŸ”¥ ğŸ”¥ ğŸ”¥ ğŸ”¥,0.691,0.0,0.309,0.8807,strongly positive
B1,23618,oooo very fine photos ğŸ˜,0.472,0.0,0.528,0.6549,strongly positive
D3,51760,may you start this new year as always beautiful and full of success.... ğŸ˜ ğŸ”¥ ğŸ‰ ğŸ’¯ â¤ ğŸ¥° ğŸ˜˜,0.559,0.0,0.441,0.984,strongly positive
D2,47850,3x3 â¤ â¤,0.737,0.0,0.263,0.8555,strongly positive
D2,49274,IM YOUR BIGGEST FAN ğŸ˜© â˜ ğŸ½,0.2,0.139,0.661,0.2342,positive
D5,57244,tne most beautiful cardashian GIRLL ğŸŒ¹,0.456,0.0,0.544,0.6361,strongly positive
E3,67482,such a glow!  ğŸ˜,0.354,0.0,0.646,0.5093,strongly positive
D4,52800,ğŸ˜‚ â¤,0.576,0.137,0.288,0.7964,strongly positive
A6,19191,man i wish i was that pretty,0.541,0.0,0.459,0.7096,strongly positive
D4,52717,so cute ğŸ˜˜,0.604,0.0,0.396,0.7264,strongly positive
D3,51598,i love youu,0.677,0.0,0.323,0.6369,strongly positive
A1,10462,yesss   â¤ â¤ â¤,0.759,0.0,0.241,0.9274,strongly positive
A3B,15877,lovely  ğŸ˜ ğŸ”¥ ğŸ’‹ ğŸ«¦,0.713,0.0,0.287,0.9081,strongly positive
B2,27578,"ğŸ”¥ ğŸ”¥ ğŸ”¥ ğŸ”¥ ğŸ”¥ ğŸ”¥ ğŸ”¥ ğŸ”¥ ğŸ”¥ ğŸ”¥ ğŸ”¥ ğŸ”¥ ğŸ”¥ ğŸ”¥ ğŸ”¥ ğŸ”¥ ğŸ”¥ ğŸ”¥ ğŸ”¥ ğŸ”¥ ğŸ”¥ ğŸ”¥ ğŸ”¥ ğŸ”¥ ğŸ”¥ ğŸ”¥ ğŸ”¥ ğŸ”¥ ğŸ–¤ ğŸ–¤ ğŸ–¤ ğŸ–¤ ğŸ–¤ ğŸ–¤ ğŸ–¤ ğŸ–¤ ğŸ–¤ ğŸ–¤ ğŸ–¤ ğŸ–¤ ğŸ–¤ ğŸ–¤ ğŸ–¤ ğŸ–¤ ğŸ–¤ ğŸ–¤ ğŸ–¤ ğŸ–¤ ğŸ–¤ ğŸ–¤ ğŸ–¤ ğŸ–¤ ğŸ–¤ ğŸ–¤ ğŸ–¤
THE BEST  ğŸ†",0.872,0.0,0.128,0.9996,strongly positive
C1,37059,hot mob wife  ğŸ‘ ğŸ‘ ğŸ‘,0.848,0.0,0.152,0.8807,strongly positive
B3,29523,"kim doesnâ€™t wear boots by SW at all, we all know that.",0.0,0.0,1.0,0.0,neutral
B4,31198,yes queen  â¤,0.912,0.0,0.088,0.886,strongly positive
C3A,40531,ahhhhh my queen I love you baby girl  â¤,0.63,0.0,0.37,0.9169,strongly positive
E2,66933,wow kourt you look so amazing and so so good love it so so much  â¤,0.647,0.0,0.353,0.9749,strongly positive
D3,51626,how is everything? you look like you're having fun.,0.453,0.0,0.547,0.7003,strongly positive
C4,43470,omg you look so young  ğŸ‘Œ,0.666,0.0,0.334,0.7891,strongly positive
C2,40086,your a beautiful person,0.565,0.0,0.435,0.5994,strongly positive
B4,31898,always beauty  â¤ â¤ â¤,0.804,0.0,0.196,0.9545,strongly positive
B1,25511,ğŸ˜‚ ğŸ˜‚ ğŸ˜‚ ğŸ˜‚yahhhh right,0.345,0.23,0.424,0.7783,strongly positive
A4,16694,ahhh yes girl!!   ğŸ˜,0.557,0.0,0.443,0.7418,strongly positive
A1,10521,background  ğŸ˜® ?!! for modelling ! appalling,0.0,0.273,0.727,-0.5229,strongly negative
C1,36091,at first glance I thought this was denise richards back in the day.  ğŸ˜,0.158,0.0,0.842,0.4588,positive
B3,28620,what does that even mean? is it because theyâ€™re so expensive and you can afford to buy them?,0.0,0.0,1.0,0.0,neutral
E3,70628,ğŸ”¥ ğŸ”¥ ğŸ”¥ ğŸ˜ ğŸ–¤,0.796,0.0,0.204,0.9393,strongly positive
D2,48301,follow me ğŸ¥º ğŸ«¶,0.0,0.0,1.0,0.0,neutral
A3A,14011,are you mewing??,0.0,0.0,1.0,0.0,neutral
C2,38125,khloe resembles the white grace jones over here ğŸ‘Œ ğŸ½,0.472,0.0,0.528,0.8374,strongly positive
B2,26778,does anyone else have that one phobia of holes like me? my skin is crawling looking at this  ğŸ¤¢,0.108,0.113,0.779,-0.0258,negative
E3,69571,that's right!,0.0,0.0,1.0,0.0,neutral
B5,32058,give her pot (lota),0.0,0.0,1.0,0.0,neutral
D4,52320,that looks so cosy  ğŸ˜ ğŸ˜ ğŸ˜,0.416,0.0,0.584,0.8511,strongly positive
B2,27846,gorgeous girl  â¤ â¤ â¤ â¤ â¤,0.806,0.0,0.194,0.9799,strongly positive
A7,22759,itâ€™s not wrong. itâ€™s just not inclusive then. thatâ€™s the point she trying to make,0.154,0.0,0.846,0.3724,positive
A7,22805,ğŸ˜ ğŸ˜ ğŸ˜ I loooove the raw images  so beautiful and cozy too,0.437,0.0,0.563,0.9324,strongly positive
B5,34977,ğŸš© ğŸš© ğŸš© ğŸš© ğŸ•‰ï¸ ğŸ•‰ï¸ ğŸ•‰ï¸ ğŸ•‰ï¸ ğŸ•‰ï¸,0.0,0.0,1.0,0.0,neutral
D1,46310,experience the beautiful,0.661,0.0,0.339,0.5994,strongly positive
C3A,40278,actually yours is unreal. youâ€™re ridiculous. lol,0.272,0.243,0.485,0.0772,positive
A7,21521,what about people who live in states who actually have winter lol,0.203,0.0,0.797,0.4215,positive
B2,25973,unmatched beauty  ğŸ”¥ ğŸ”¥ ğŸ”¥ ğŸ”¥ ğŸ”¥ ğŸ”¥ ğŸ”¥ â¤ â¤ â¤ â¤ â¤ â¤ â¤,0.864,0.021,0.115,0.9947,strongly positive
D5,58529,beautiful pictures kendall so awesome!!!,0.77,0.0,0.23,0.9004,strongly positive
C3B,42004,ğŸ˜ ğŸ«¶ â™¥ï¸,0.59,0.0,0.41,0.802,strongly positive
C1,36893,U look stunning  ğŸ˜love the outfit xx,0.412,0.0,0.588,0.6808,strongly positive
C3A,40394,exactly!! stop trying to erase that israel is judea aka ancestral homeland of the jews.  âœŒï¸,0.0,0.148,0.852,-0.4184,negative
C2,38195,she's absolutely stunning! my favorite kardashian.,0.617,0.0,0.383,0.7542,strongly positive
E1,63392,love  â¤ â¤,0.863,0.0,0.137,0.9274,strongly positive
B5,32162,why so constipated?  ğŸ˜‚,0.325,0.162,0.513,0.4404,positive
E2,64560,you wouldn't eat your own product  ğŸ˜‚stop it  â˜ ï¸,0.0,0.323,0.677,-0.7351,strongly negative
E1,63717,do you guys pay a photographer everywhere you go? can't you just enjoy life without being on social media,0.0,0.192,0.808,-0.4639,negative
E1,63822,yall itâ€™s a promo shoot Iâ€™m sure they didnâ€™t just walk in and take control of the target  ğŸ’€ ğŸ’€ target probably requested them to if anything,0.063,0.303,0.634,-0.8658,strongly negative
E2,66232,"who cares if she shops at target or not , sheâ€™s making her product accessible to the average joe ! has anyone tried any of the products?",0.112,0.0,0.888,0.5093,strongly positive
A6,19470,how much did this ad cost,0.0,0.0,1.0,0.0,neutral
D4,55384,ğŸ˜ ğŸ¤ ğŸ¤ ğŸ¤ ğŸ¤,0.739,0.0,0.261,0.9674,strongly positive
A2,13751,hi jenn I love  ğŸ’• ğŸ’• ğŸ’• ğŸ’• ğŸ’• ğŸ’• ğŸ’• you,0.757,0.0,0.243,0.9893,strongly positive
B5,34613,ğŸ’– ğŸ’– ğŸ’– ğŸ’– ğŸ’– ğŸ’– ğŸ’–,1.0,0.0,0.0,0.9922,strongly positive
E2,65872,I wish i could shop with you at target  ğŸ¤© ğŸ’•,0.412,0.0,0.588,0.7906,strongly positive
B3,29925,ğŸ¤® ğŸ¤® ğŸ¤® ğŸ¤®,0.0,0.778,0.222,-0.9325,strongly negative
A7,22993,first ğŸ‘ ğŸ‘ ğŸ‘,0.9,0.0,0.1,0.8402,strongly positive
A2,11891,horrible  ğŸ¤¢ ğŸ¤®,0.0,0.7,0.3,-0.7906,strongly negative
C2,38207,fire ğŸ”¥,1.0,0.0,0.0,0.6808,strongly positive
D5,57426,damn girl youâ€™re slaying !  ğŸ’— ğŸ’— ğŸ’—,0.729,0.109,0.162,0.9359,strongly positive
B4,31541,is this how you write checks at the grocery store?,0.0,0.0,1.0,0.0,neutral
D5,60375,you look beautiful... check out my novel day in or day out on the amazon platform  ğŸ˜,0.405,0.0,0.595,0.872,strongly positive
A6,19225,ğŸ¤® ğŸ¤® ğŸ¤® ğŸ¤® ğŸ¤®,0.0,0.778,0.222,-0.9552,strongly negative
B2,27067,love this look  ğŸ”¥ ğŸ”¥ ğŸ”¥,0.863,0.0,0.137,0.9118,strongly positive
C1,35977,69 ğŸ˜,0.429,0.0,0.571,0.4588,positive
E2,65564,"oh yes, Iâ€™m so excited",0.643,0.0,0.357,0.659,strongly positive
C1,37505,mob wife oh my thatâ€™s nothing to joke about  ğŸ˜¢,0.0,0.357,0.643,-0.6108,strongly negative
C1,37026,what???,0.0,0.0,1.0,0.0,neutral
B5,32581,kim doing potty near railway tracks,0.0,0.0,1.0,0.0,neutral
D4,52850,beautiful  ğŸ”¥ ğŸ”¥ â¤ â¤ â¤ â¤ â¤,0.859,0.0,0.141,0.9855,strongly positive
B2,26728,beautiful kimk ğŸ‘‘,0.881,0.0,0.119,0.8126,strongly positive
A7,21393,girl are you serious,0.0,0.302,0.698,-0.0772,negative
C4,43255,ğŸ˜® wow I liked when she was thick,0.423,0.0,0.577,0.765,strongly positive
B5,34425,my thought exactly,0.0,0.0,1.0,0.0,neutral
E3,67946,very interesting to look at  ğŸ”¥ ğŸ”¥ ğŸ”¥ ğŸ”¥,0.78,0.0,0.22,0.9216,strongly positive
D4,56027,"blind artist, do your clothes shed lint when you wash them?",0.0,0.213,0.787,-0.4019,negative
E2,64312,"you're wrong, sweetie.",0.438,0.425,0.137,0.0258,positive
B5,34946,â¤ â¤ â¤ â¤ â¤ â¤ â¤ â¤ â¤ this woman,0.775,0.0,0.225,0.9911,strongly positive
C2,38189,she doesnâ€™t look the same. sheâ€™s to skinny.,0.0,0.0,1.0,0.0,neutral
C4,42814,fantasy girl!!! ğŸ¥° ğŸ¥° ğŸ§¡ ğŸ§¡ ğŸ§¡ ğŸ’› ğŸ’› ğŸŒ ğŸŒŠ ğŸŒŠ,0.646,0.0,0.354,0.9902,strongly positive
A7,22427,I love you  â¤,0.737,0.0,0.263,0.8555,strongly positive
C1,36589,ğŸ˜ â¤ğŸ‡®ğŸ‡³ ğŸ’™,0.545,0.0,0.455,0.802,strongly positive
D2,47656,"this is the reason all the men including harry styles left kendall ,she's just pure showoff no hardwork only surgeries and all that shit!",0.0,0.217,0.783,-0.7263,strongly negative
E3,69333,flawless...you make it look easy â¤ ğŸ”¥ ğŸ”¥ ğŸ”¥,0.756,0.0,0.244,0.9382,strongly positive
B1,24499,now that's a peach  ğŸ‘ ğŸ”¥!,0.382,0.0,0.618,0.4753,positive
A2,13254,ğŸ”¥ ğŸ”¥ ğŸ”¥ ğŸ˜ ğŸ˜ ğŸ˜ â¤,0.684,0.0,0.316,0.9666,strongly positive
C1,36544,so cute omgg  â¤,0.714,0.0,0.286,0.8173,strongly positive
B1,23742,the way i hollered ty. you are doing gods work too,0.0,0.0,1.0,0.0,neutral
B5,32372,spread the legs ğŸ˜ ğŸ”¥,0.492,0.0,0.508,0.7003,strongly positive
B1,24076,where is his penis? ğŸ¥²,0.0,0.0,1.0,0.0,neutral
D4,55175,literally me if i were a supermodel in montana,0.0,0.0,1.0,0.0,neutral
E2,65723,you or  all should start your own baby clothing company  differnt styles for different parenting. your ğ˜ğ˜°ğ˜­ğ˜¤ğ˜°ğ˜®ğ˜£ğ˜¦  ğŸ«¶ ğŸ»,0.0,0.0,1.0,0.0,neutral
E1,63379,how much is she!  ğŸ˜‚ ğŸ˜,0.373,0.1,0.527,0.7345,strongly positive
B2,28402,â­ â­ â­ â­ â­ â­ â­,0.0,0.0,1.0,0.0,neutral
C1,35533,scott dissik buying up all the lotion in his area,0.0,0.0,1.0,0.0,neutral
E2,65450,I appreciate the time effort and funds put towards the health & safety factors of her products. similar consideration of jessica alba with her honest products and gwen paltrow with her goop.  âœŠ usung your platform to contribute in societal advancements is always respected and appreciated  much more than material glamour products.,0.286,0.0,0.714,0.9575,strongly positive
B2,27838,witches used to wear the same things  ğŸ˜‚,0.242,0.121,0.637,0.4404,positive
D3,50915,hottest kardish  ğŸ™Œ ğŸ”¥,0.412,0.0,0.588,0.4215,positive
C3A,41202,yeah tristan really fuced up,0.355,0.0,0.645,0.296,positive
B3,29469,hottie  ğŸ˜ ğŸ˜ ğŸ˜,0.474,0.0,0.526,0.8402,strongly positive
A7,22339,ğŸŒ· ğŸ˜˜,0.412,0.0,0.588,0.4215,positive
C3B,42348,"pleasee do not block / look at your dms, im just tryna have fun im not a bot lol i just wanna talk lowkey. at least give me a chanceee",0.163,0.067,0.771,0.5226,strongly positive
C3A,41434,we get it.  it's a table,0.0,0.0,1.0,0.0,neutral
C3B,42162,you become more beautiful and attractive day by day  â¤ ğŸ˜,0.57,0.0,0.43,0.9388,strongly positive
B2,26715,how can she wear those for hours ? I donâ€™t get it,0.0,0.0,1.0,0.0,neutral
E3,67775,I just want to know what kind of a coat is that?,0.106,0.0,0.894,0.0772,positive
E2,66598,I think I will have to check it out.,0.0,0.0,1.0,0.0,neutral
B3,29286,â€¼ï¸ â€¼ï¸ â€¼ï¸,0.0,0.0,1.0,0.0,neutral
D5,61095,ğŸ‘ï¸ ğŸ‘ï¸ ğŸ‘ï¸ ğŸ‘ï¸ ğŸ‘ï¸ ğŸ‘ï¸ ğŸ‘ï¸ ğŸ‘ï¸ ğŸ‘ï¸ ğŸ‘ï¸ ğŸ‘ï¸ ğŸ‘ï¸ ğŸ‘ï¸ ğŸ‘ï¸ ğŸ‘ï¸ ğŸ‘ï¸ ğŸ‘ï¸ ğŸ‘ï¸,0.0,0.0,1.0,0.0,neutral
C4,43666,hey  ğŸ’‹ ğŸ’‹ ğŸ’‹ ğŸ’‹,0.691,0.0,0.309,0.8807,strongly positive
C4,42894,i love u,0.677,0.0,0.323,0.6369,strongly positive
E2,65832,target queen  ğŸ‘¸  â¤,0.72,0.0,0.28,0.8271,strongly positive
D4,54011,go visit your horse... sincerely yours willber,0.341,0.0,0.659,0.4767,positive
E1,63414,thatâ€™s so rude,0.0,0.622,0.378,-0.5095,strongly negative
A3A,14897,just advertising and promoting their brands all the time  ğŸ™ˆ,0.2,0.0,0.8,0.3612,positive
E2,64423,"apparently, you do.",0.0,0.0,1.0,0.0,neutral
C3A,41603,ğŸ‡µğŸ‡¸ğŸ‡µğŸ‡¸ğŸ‡µğŸ‡¸ğŸ‡µğŸ‡¸ â¤ â¤ â¤ â¤,0.771,0.0,0.229,0.9571,strongly positive
C1,37067,you so HOT AF!,0.54,0.0,0.46,0.5451,strongly positive
B1,23793,thank you kim!!,0.607,0.0,0.393,0.4738,positive
A4,16423,let us know pls  ğŸ’„,0.245,0.0,0.755,0.0772,positive
E1,63619,I don't believe for a second she shops at target! why target why?,0.0,0.0,1.0,0.0,neutral
E3,68629,I love your laughter  ğŸ¥° ğŸ¥°,0.733,0.0,0.267,0.9719,strongly positive
A5,18719,youâ€™re so nasty,0.0,0.661,0.339,-0.5984,strongly negative
B1,25515,good lawd!  ğŸ˜,0.608,0.0,0.392,0.7345,strongly positive
D4,52368,I LOVE YOU BABY GIRL. FUCK THE HATERS,0.264,0.421,0.314,-0.3612,negative
D2,49169,that ride  ğŸ”¥,0.583,0.0,0.417,0.4215,positive
A2,12673,first  â¤ ğŸ˜®,0.412,0.0,0.588,0.6369,strongly positive
D5,61734,my question isnâ€™t treating bad,0.0,0.467,0.533,-0.5423,strongly negative
E2,66159,why target  ğŸ˜©,0.0,0.412,0.588,-0.2732,negative
B2,27111,all that money spent on your looks and still dependent on filters.,0.0,0.0,1.0,0.0,neutral
C1,35766,gyal take a seat and end of.,0.0,0.0,1.0,0.0,neutral
D4,55565,mother  ğŸ¥¹,0.0,0.0,1.0,0.0,neutral
A3B,14925,foundation to match spray tan. thatâ€™s too much work,0.0,0.0,1.0,0.0,neutral
A7,23112,where did the ass go?,0.0,0.467,0.533,-0.5423,strongly negative
D1,45516,ğŸ˜® ğŸ˜ ğŸ‘ ğŸ”¥ ğŸ™Œ â¤ â¤ â¤,0.641,0.0,0.359,0.9698,strongly positive
D5,58202,â¤ â¤ â¤ ğŸ”¥ ğŸ”¥ ğŸ”¥ ğŸ˜ ğŸ˜ ğŸ˜ ğŸ˜ ğŸ˜,0.667,0.0,0.333,0.9882,strongly positive
